Dataset,Experiment,Folder,Average_SAD,Average_MSE,STD_SAD,STD_MSE
Cuprite_fixed,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 1.0])","[0.2675428  0.08462913 0.13621087 0.08839233 0.09887381 0.05560362
 0.17176956 0.07552673 0.08084483 0.05995145 0.05871551 0.10665874]",,"[0.05031255 0.00534741 0.00968187 0.00407009 0.00623699 0.00520576
 0.02090591 0.0100641  0.00608688 0.0061678  0.01137967 0.02026654]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)","Blur (sigma = [0.1, 2.0])","[0.2709986  0.08687332 0.13734215 0.09399413 0.09997786 0.05496084
 0.16528034 0.0745922  0.0791804  0.05731621 0.08149545 0.10365261]",,"[0.0289621  0.00680652 0.00790873 0.00493166 0.00684908 0.00422563
 0.02164115 0.00553107 0.00387553 0.00561125 0.02361522 0.02216436]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop (50),"[0.27561587 0.08811599 0.14040819 0.08227256 0.09936575 0.07399953
 0.15972014 0.09370425 0.08774876 0.06662636 0.0675033  0.09207132]",,"[0.06465209 0.02033867 0.00912495 0.00692925 0.01062455 0.0048614
 0.02533723 0.01576966 0.01036211 0.00794042 0.01299756 0.01945266]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop (75),"[0.25576636 0.07912993 0.14233002 0.08661717 0.09548371 0.0653479
 0.16266233 0.07908738 0.08346114 0.09037814 0.06602472 0.10369788]",,"[0.02980191 0.00828879 0.00933127 0.00637357 0.00971032 0.00484533
 0.02731913 0.01153388 0.00697509 0.02094473 0.0153824  0.02087658]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Crop (95),"[0.3001422  0.08069304 0.14480855 0.09043979 0.10368849 0.05866071
 0.16130531 0.08346741 0.08334055 0.05683535 0.0588776  0.10704595]",,"[0.03894223 0.00342632 0.00831885 0.00455687 0.01143858 0.00476064
 0.02734867 0.01097769 0.00890534 0.006488   0.00616405 0.00986495]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Vertical Flip,"[0.28468046 0.0841844  0.14856003 0.08896813 0.1116054  0.05177726
 0.18944588 0.0836605  0.082699   0.05477375 0.06414002 0.14086713]",,"[0.07180177 0.0064764  0.00851412 0.00434758 0.0139568  0.00329611
 0.01977119 0.0089948  0.00774504 0.00226815 0.00880804 0.03201115]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Horizontal Flip,"[0.2994172  0.07305053 0.13540587 0.08586231 0.10427584 0.06027723
 0.18193856 0.07990626 0.09641793 0.07750329 0.10043934 0.1058698 ]",,"[0.02964197 0.00301921 0.00642036 0.00434213 0.01381197 0.00566572
 0.01688973 0.01126111 0.00688746 0.00935124 0.03434503 0.01413648]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Mix Flip,"[0.29662317 0.0721745  0.13435593 0.08993435 0.11650546 0.06213323
 0.17911068 0.07936881 0.09618426 0.07291146 0.09344615 0.11656655]",,"[0.04884734 0.00387113 0.00948287 0.00590067 0.011673   0.00561983
 0.02439477 0.01050823 0.00736181 0.00695684 0.02644005 0.02161941]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Random Flip,"[0.28141442 0.07516491 0.14024866 0.08694423 0.10165484 0.05925618
 0.18226896 0.08303373 0.09868591 0.06274107 0.07251925 0.1118213 ]",,"[0.04967774 0.00753266 0.01062565 0.00465392 0.01624465 0.00523201
 0.01795287 0.00997709 0.01079253 0.00741097 0.02510401 0.01711406]",
Cuprite_fixed,"Results (25 runs, no seed, diff images)",Jitter,"[0.2996332  0.08731941 0.14778845 0.08901444 0.11527464 0.05172217
 0.185802   0.0854077  0.08265182 0.05390826 0.06533811 0.1266467 ]",,"[0.09201324 0.00838039 0.00787355 0.00375145 0.01258759 0.00301236
 0.03048001 0.00965203 0.00577436 0.00296606 0.00940727 0.03135643]",
